MUNICIPIO,COD,porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apacilagua,602,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción de Maria,603,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duyure,604,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Corpus,605,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Triunfo,606,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcovia,607,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morolica,608,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namasigue,609,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orocuina,610,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pespire,611,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio de Flores,612,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Isidro,613,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San José,614,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos de Colón,615,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana de Yusguare,616,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuscarán,701,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alauca,702,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danlí,703,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paraíso,704,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinope,705,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacaleapa,706,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liure,707,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocelí,708,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oropolí,709,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potrerillos,710,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio de Flores,711,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
